,rank,artist,song,rank_last_week,peak_rank,weeks_on_chart,date
2815,16,Lady Gaga & Ariana Grande,Rain On Me,12,1,7,7/18/2020
2816,17,Dua Lipa,Break My Heart,20,17,15,7/18/2020
2817,18,Maren Morris,The Bones,17,12,42,7/18/2020
2818,19,Luke Bryan,One Margarita,22,19,10,7/18/2020
2819,20,Lil Baby,The Bigger Picture,14,3,4,7/18/2020
2820,21,Roddy Ricch,The Box,16,1,31,7/18/2020
2821,22,Pop Smoke,Dior,44,22,21,7/18/2020
2822,23,Gabby Barrett Featuring Charlie Puth,I Hope,21,16,28,7/18/2020
2823,24,Future Featuring Drake,Life Is Good,18,2,26,7/18/2020
2824,25,Trevor Daniel,Falling,19,17,34,7/18/2020
2825,26,Lewis Capaldi,Before You Go,25,25,23,7/18/2020
2826,27,Sam Hunt,Hard To Forget,27,26,15,7/18/2020
2827,28,Chris Brown & Young Thug,Go Crazy,30,28,9,7/18/2020
2828,29,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),31,29,4,7/18/2020
2829,30,Surfaces,Sunday Best,23,19,19,7/18/2020
2830,31,Pop Smoke,Got It On Me,0,31,1,7/18/2020
2831,32,Powfu Featuring beabadoobee,Death Bed,24,23,17,7/18/2020
2832,33,Miranda Lambert,Bluebird,35,33,14,7/18/2020
2833,34,Pop Smoke Featuring Quavo,Aim For The Moon,0,34,1,7/18/2020
2834,35,Morgan Wallen,Chasin' You,32,16,24,7/18/2020
2835,36,StaySolidRocky,Party Girl,29,21,11,7/18/2020
2836,37,Pop Smoke,Gangstas,0,37,1,7/18/2020
2837,38,Drake,Toosie Slide,26,1,14,7/18/2020
2838,39,Pop Smoke,44 Bulldog,0,39,1,7/18/2020
2839,40,Roddy Ricch Featuring Mustard,High Fashion,36,20,28,7/18/2020
2840,41,Pop Smoke,Something Special,0,41,1,7/18/2020
2841,42,Maddie & Tae,Die From A Broken Heart,45,42,13,7/18/2020
2842,43,Pop Smoke,Yea Yea,0,43,1,7/18/2020
2843,44,Pop Smoke Featuring Lil Tjay,Mood Swings,0,44,1,7/18/2020
2844,45,Ariana Grande & Justin Bieber,Stuck With U,34,1,9,7/18/2020
2845,46,Lil Baby,Emotionally Scarred,37,31,19,7/18/2020
2846,47,BENEE Featuring Gus Dapperton,Supalonely,41,39,17,7/18/2020
2847,48,NLE Choppa Featuring Roddy Ricch,Walk Em Down,40,38,16,7/18/2020
2848,49,Pop Smoke Featuring Rowdy Rebel,Make It Rain,0,49,2,7/18/2020
2849,50,Marshmello & Halsey,Be Kind,39,29,10,7/18/2020
2850,51,Megan Thee Stallion,Girls In The Hood,28,28,2,7/18/2020
2851,52,Pop Smoke,What You Know Bout Love,0,52,1,7/18/2020
2852,53,"THE SCOTTS, Travis Scott & Kid Cudi",The Scotts,38,1,11,7/18/2020
2853,54,Pop Smoke Featuring Quavo & Future,Snitchin,0,54,1,7/18/2020
2854,55,Pop Smoke,Bad Bitch From Tokyo (Intro),0,55,1,7/18/2020
2855,56,Pop Smoke Featuring Karol G,Enjoy Yourself,0,56,1,7/18/2020
2856,57,Pop Smoke Featuring Swae Lee,Creature,0,57,1,7/18/2020
2857,58,Florida Georgia Line,I Love My Country,48,48,12,7/18/2020
2858,59,JP Saxe Featuring Julia Michaels,If The World Was Ending,50,50,15,7/18/2020
2859,60,Jason Aldean,Got What I Got,52,52,6,7/18/2020
2860,61,Doja Cat Featuring Gucci Mane,Like That,51,51,6,7/18/2020
2861,62,Kenny Chesney,Here And Now,47,38,14,7/18/2020
2862,63,Moneybagg Yo,Said Sum,0,63,1,7/18/2020
2863,64,Rod Wave Featuring ATR Son Son,Rags2Riches,96,64,2,7/18/2020
2864,65,Pop Smoke Featuring Tyga & Quavo,West Coast Shit,0,65,1,7/18/2020
2865,66,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,58,58,14,7/18/2020
2866,67,"Black Eyed Peas, Ozuna + J.Rey Soul",Mamacita,64,62,5,7/18/2020
2867,68,Young T & Bugsey Featuring Headie One,Don't Rush,57,56,9,7/18/2020
2868,69,Chris Janson,Done,63,63,4,7/18/2020
2869,70,Jhene Aiko,P*$$y Fairy (OTW),59,40,25,7/18/2020
2870,71,Luke Combs Featuring Eric Church,Does To Me,53,20,17,7/18/2020
2871,72,Keith Urban,God Whispered Your Name,60,60,12,7/18/2020
2872,73,LOCASH,One Big Country Song,65,65,6,7/18/2020
2873,74,Juice WRLD X Halsey,Life's A Mess,0,74,1,7/18/2020
2874,75,Kanye West Featuring Travis Scott,Wash Us In The Blood,49,49,2,7/18/2020
2875,76,Pop Smoke Featuring King Combs,Diana,0,76,1,7/18/2020
2876,77,Kane Brown,Cool Again,76,68,6,7/18/2020
2877,78,Justin Moore,Why We Drink,69,69,6,7/18/2020
2878,79,Pop Smoke,Tunnel Vision (Outro),0,79,1,7/18/2020
2879,80,Don Toliver,After Party,61,57,12,7/18/2020
2880,81,6ix9ine,Gooba,55,3,9,7/18/2020
2881,82,Migos Featuring YoungBoy Never Broke Again,Need It,72,62,7,7/18/2020
2882,83,6ix9ine & Nicki Minaj,Trollz,54,1,4,7/18/2020
2883,84,Drake Featuring Giveon,Chicago Freestyle,62,14,10,7/18/2020
2884,85,Lil Durk Featuring Lil Baby & Polo G,3 Headed Goat,68,43,4,7/18/2020
2885,86,Surf Mesa Featuring Emilee,ily,78,72,7,7/18/2020
2886,87,Lee Brice,One Of Them Girls,73,73,6,7/18/2020
2887,88,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,66,36,17,7/18/2020
2888,89,Polo G Featuring Juice WRLD,Flex,70,30,8,7/18/2020
2889,90,Travis Denning,After A Few,67,31,15,7/18/2020
2890,91,BLACKPINK,How You Like That,33,33,2,7/18/2020
2891,92,Bad Bunny,Yo Perreo Sola,74,53,17,7/18/2020
2892,93,Morgan Wallen,More Than My Hometown,82,61,4,7/18/2020
2893,94,Kid LAROI & Juice WRLD,Go!,80,52,4,7/18/2020
2894,95,Ashley McBryde,One Night Standards,83,83,5,7/18/2020
2895,96,Scotty McCreery,In Between,56,53,13,7/18/2020
2896,97,Luke Combs,Lovin' On You,93,93,2,7/18/2020
2897,98,Rod Wave,Girl Of My Dreams,90,84,8,7/18/2020
2898,99,6ix9ine,YaYa,0,99,1,7/18/2020
2899,100,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,88,86,6,7/18/2020
2900,1,DaBaby Featuring Roddy Ricch,Rockstar,1,1,13,7/25/2020
2901,2,Juice WRLD x Marshmello,Come & Go,0,2,1,7/25/2020
2902,3,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,3,2,23,7/25/2020
2903,4,The Weeknd,Blinding Lights,2,1,33,7/25/2020
2904,5,Juice WRLD,Wishing Well,0,5,1,7/25/2020
2905,6,Megan Thee Stallion,Savage,4,1,18,7/25/2020
2906,7,Juice WRLD,Conversations,0,7,1,7/25/2020
2907,8,SAINt JHN,Roses,5,4,17,7/25/2020
2908,9,Juice WRLD X Halsey,Life's A Mess,74,9,2,7/25/2020
2909,10,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,Hate The Other Side,0,10,1,7/25/2020
2910,11,Harry Styles,Watermelon Sugar,7,7,17,7/25/2020
2911,12,Juice WRLD,Blood On My Jeans,0,12,1,7/25/2020
2912,13,Lil Mosey,Blueberry Faygo,8,8,23,7/25/2020
2913,14,Juice WRLD,Titanic,0,14,1,7/25/2020
2914,15,Juice WRLD,Righteous,0,11,11,7/25/2020
2915,16,Juice WRLD,Bad Energy,0,16,1,7/25/2020
2916,17,Harry Styles,Adore You,12,6,32,7/25/2020
2917,18,Doja Cat Featuring Nicki Minaj,Say So,9,1,28,7/25/2020
2918,19,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),29,19,5,7/25/2020
2919,20,Post Malone,Circles,13,1,46,7/25/2020
2920,21,Justin Bieber Featuring Quavo,Intentions,10,5,23,7/25/2020
2921,22,Kid Cudi & Eminem,The Adventures Of Moon Man & Slim Shady,0,22,1,7/25/2020
2922,23,Gabby Barrett Featuring Charlie Puth,I Hope,23,16,29,7/25/2020
2923,24,Dua Lipa,Break My Heart,17,17,16,7/25/2020
2924,25,StaySolidRocky,Party Girl,36,21,12,7/25/2020
2925,26,Lil Baby & 42 Dugg,We Paid,14,10,11,7/25/2020
2926,27,Dua Lipa,Don't Start Now,15,2,37,7/25/2020
2927,28,Lady Gaga & Ariana Grande,Rain On Me,16,1,8,7/25/2020
2928,29,Chris Brown & Young Thug,Go Crazy,28,28,10,7/25/2020
2929,30,Lewis Capaldi,Before You Go,26,25,24,7/25/2020
2930,31,Luke Bryan,One Margarita,19,19,11,7/25/2020
2931,32,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,6,6,2,7/25/2020
2932,33,Trevor Daniel,Falling,25,17,35,7/25/2020
2933,34,Juice WRLD,Stay High,0,34,1,7/25/2020
2934,35,Juice WRLD,Fighting Demons,0,35,1,7/25/2020
2935,36,Maren Morris,The Bones,18,12,43,7/25/2020
2936,37,Sam Hunt,Hard To Forget,27,26,16,7/25/2020
2937,38,Juice WRLD & Trippie Redd,Tell Me U Luv Me,0,38,3,7/25/2020
2938,39,Future Featuring Drake,Life Is Good,24,2,27,7/25/2020
2939,40,Roddy Ricch,The Box,21,1,32,7/25/2020
2940,41,Powfu Featuring beabadoobee,Death Bed,32,23,18,7/25/2020
2941,42,Juice WRLD,Up Up And Away,0,42,1,7/25/2020
2942,43,Lil Baby,The Bigger Picture,20,3,5,7/25/2020
2943,44,Miranda Lambert,Bluebird,33,33,15,7/25/2020
2944,45,Surfaces,Sunday Best,30,19,20,7/25/2020
2945,46,Juice WRLD,Screw Juice,0,46,1,7/25/2020
2946,47,Juice WRLD,I Want It,0,47,1,7/25/2020
2947,48,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,11,11,2,7/25/2020
2948,49,Morgan Wallen,Chasin' You,35,16,25,7/25/2020
2949,50,Juice WRLD,Can't Die,0,50,1,7/25/2020
2950,51,Juice WRLD,Man Of The Year,0,51,1,7/25/2020
2951,52,Rod Wave Featuring ATR Son Son,Rags2Riches,64,52,3,7/25/2020
2952,53,Maddie & Tae,Die From A Broken Heart,42,42,14,7/25/2020
2953,54,Drake,Toosie Slide,38,1,15,7/25/2020
2954,55,Lil Baby,Emotionally Scarred,46,31,20,7/25/2020
2955,56,BENEE Featuring Gus Dapperton,Supalonely,47,39,18,7/25/2020
2956,57,Megan Thee Stallion,Girls In The Hood,51,28,3,7/25/2020
2957,58,NLE Choppa Featuring Roddy Ricch,Walk Em Down,48,38,17,7/25/2020
2958,59,Pop Smoke,Got It On Me,31,31,2,7/25/2020
2959,60,LOCASH,One Big Country Song,73,60,7,7/25/2020
2960,61,JP Saxe Featuring Julia Michaels,If The World Was Ending,59,50,16,7/25/2020
2961,62,Marshmello & Halsey,Be Kind,50,29,11,7/25/2020
2962,63,Moneybagg Yo,Said Sum,63,63,2,7/25/2020
2963,64,Florida Georgia Line,I Love My Country,58,48,13,7/25/2020
2964,65,Jason Aldean,Got What I Got,60,52,7,7/25/2020
2965,66,Ariana Grande & Justin Bieber,Stuck With U,45,1,10,7/25/2020
2966,67,Chris Janson,Done,69,63,5,7/25/2020
2967,68,Doja Cat Featuring Gucci Mane,Like That,61,51,7,7/25/2020
2968,69,"THE SCOTTS, Travis Scott & Kid Cudi",The Scotts,53,1,12,7/25/2020
2969,70,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,66,58,15,7/25/2020
2970,71,Young T & Bugsey Featuring Headie One,Don't Rush,68,56,10,7/25/2020
2971,72,"Black Eyed Peas, Ozuna + J.Rey Soul",Mamacita,67,62,6,7/25/2020
2972,73,Kane Brown With Swae Lee & Khalid,Be Like That,0,73,1,7/25/2020
2973,74,Keith Urban,God Whispered Your Name,72,60,13,7/25/2020
2974,75,Pop Smoke,Something Special,41,41,2,7/25/2020
2975,76,Justin Moore,Why We Drink,78,69,7,7/25/2020
2976,77,Kane Brown,Cool Again,77,68,7,7/25/2020
2977,78,Lee Brice,One Of Them Girls,87,73,7,7/25/2020
2978,79,Pop Smoke Featuring Lil Tjay,Mood Swings,44,44,2,7/25/2020
2979,80,Luke Combs Featuring Eric Church,Does To Me,71,20,18,7/25/2020
2980,81,Don Toliver,After Party,80,57,13,7/25/2020
2981,82,Migos Featuring YoungBoy Never Broke Again,Need It,82,62,8,7/25/2020
2982,83,Pop Smoke,Gangstas,37,37,2,7/25/2020
2983,84,Summer Walker,Let It Go,0,84,1,7/25/2020
2984,85,Morgan Wallen,More Than My Hometown,93,61,5,7/25/2020
2985,86,Summer Walker & PARTYNEXTDOOR,My Affection,0,86,1,7/25/2020
2986,87,Luke Combs,Lovin' On You,97,87,3,7/25/2020
2987,88,Surf Mesa Featuring Emilee,ily,86,72,8,7/25/2020
2988,89,Pop Smoke Featuring Quavo,Aim For The Moon,34,34,2,7/25/2020
2989,90,Trevor Daniel x Selena Gomez,Past Life,0,77,2,7/25/2020
2990,91,Saweetie,Tap In,0,91,1,7/25/2020
2991,92,Rod Wave,Girl Of My Dreams,98,84,9,7/25/2020
2992,93,Drake Featuring Giveon,Chicago Freestyle,84,14,11,7/25/2020
2993,94,Ashley McBryde,One Night Standards,95,83,6,7/25/2020
2994,95,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,88,36,18,7/25/2020
2995,96,Kenny Chesney,Here And Now,62,38,15,7/25/2020
2996,97,Lil Durk Featuring Lil Baby & Polo G,3 Headed Goat,85,43,5,7/25/2020
2997,98,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,100,86,7,7/25/2020
2998,99,Pop Smoke,44 Bulldog,39,39,2,7/25/2020
2999,100,6ix9ine,Gooba,81,3,10,7/25/2020
3000,1,DaBaby Featuring Roddy Ricch,Rockstar,1,1,14,8/1/2020
3001,2,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,3,2,24,8/1/2020
3002,3,DJ Khaled Featuring Drake,Popstar,0,3,1,8/1/2020
3003,4,The Weeknd,Blinding Lights,4,1,34,8/1/2020
3004,5,SAINt JHN,Roses,8,4,18,8/1/2020
3005,6,Megan Thee Stallion,Savage,6,1,19,8/1/2020
3006,7,Harry Styles,Watermelon Sugar,11,7,18,8/1/2020
3007,8,DJ Khaled Featuring Drake,Greece,0,8,1,8/1/2020
3008,9,Juice WRLD x Marshmello,Come & Go,2,2,2,8/1/2020
3009,10,Chris Brown & Young Thug,Go Crazy,29,10,11,8/1/2020
3010,11,Lil Mosey,Blueberry Faygo,13,8,24,8/1/2020
3011,12,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),19,12,6,8/1/2020
3012,13,Juice WRLD,Wishing Well,5,5,2,8/1/2020
3013,14,Lady Gaga & Ariana Grande,Rain On Me,28,1,9,8/1/2020
3014,15,Harry Styles,Adore You,17,6,33,8/1/2020
3015,16,Gabby Barrett Featuring Charlie Puth,I Hope,23,16,30,8/1/2020
3016,17,Dua Lipa,Break My Heart,24,17,17,8/1/2020
3017,18,Post Malone,Circles,20,1,47,8/1/2020
3018,19,Lewis Capaldi,Before You Go,30,19,25,8/1/2020
3019,20,Lil Baby & 42 Dugg,We Paid,26,10,12,8/1/2020
3020,21,Doja Cat Featuring Nicki Minaj,Say So,18,1,29,8/1/2020
3021,22,Justin Bieber Featuring Quavo,Intentions,21,5,24,8/1/2020
3022,23,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,32,6,3,8/1/2020
3023,24,StaySolidRocky,Party Girl,25,21,13,8/1/2020
3024,25,Luke Bryan,One Margarita,31,19,12,8/1/2020
3025,26,Miranda Lambert,Bluebird,44,26,16,8/1/2020
3026,27,Dua Lipa,Don't Start Now,27,2,38,8/1/2020
3027,28,Future Featuring Drake,Life Is Good,39,2,28,8/1/2020
3028,29,Powfu Featuring beabadoobee,Death Bed,41,23,19,8/1/2020
3029,30,Trevor Daniel,Falling,33,17,36,8/1/2020
3030,31,Maren Morris,The Bones,36,12,44,8/1/2020
3031,32,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,48,11,3,8/1/2020
3032,33,Sam Hunt,Hard To Forget,37,26,17,8/1/2020
3033,34,Roddy Ricch,The Box,40,1,33,8/1/2020
3034,35,Maddie & Tae,Die From A Broken Heart,53,35,15,8/1/2020
3035,36,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,Hate The Other Side,10,10,2,8/1/2020
3036,37,Lil Baby,The Bigger Picture,43,3,6,8/1/2020
3037,38,Juice WRLD,Conversations,7,7,2,8/1/2020
3038,39,Morgan Wallen,Chasin' You,49,16,26,8/1/2020
3039,40,Surfaces,Sunday Best,45,19,21,8/1/2020
3040,41,Rod Wave Featuring ATR Son Son,Rags2Riches,52,41,4,8/1/2020
3041,42,Juice WRLD X Halsey,Life's A Mess,9,9,3,8/1/2020
3042,43,Lil Baby,Emotionally Scarred,55,31,21,8/1/2020
3043,44,Moneybagg Yo,Said Sum,63,44,3,8/1/2020
3044,45,Drake,Toosie Slide,54,1,16,8/1/2020
3045,46,Megan Thee Stallion,Girls In The Hood,57,28,4,8/1/2020
3046,47,BENEE Featuring Gus Dapperton,Supalonely,56,39,19,8/1/2020
3047,48,NLE Choppa Featuring Roddy Ricch,Walk Em Down,58,38,18,8/1/2020
3048,49,Juice WRLD,Blood On My Jeans,12,12,2,8/1/2020
3049,50,LOCASH,One Big Country Song,60,50,8,8/1/2020
3050,51,Juice WRLD,Righteous,15,11,12,8/1/2020
3051,52,JP Saxe Featuring Julia Michaels,If The World Was Ending,61,50,17,8/1/2020
3052,53,Jason Aldean,Got What I Got,65,52,8,8/1/2020
3053,54,Florida Georgia Line,I Love My Country,64,48,14,8/1/2020
3054,55,Pop Smoke,Got It On Me,59,31,3,8/1/2020
3055,56,Chris Janson,Done,67,56,6,8/1/2020
3056,57,Doja Cat Featuring Gucci Mane,Like That,68,51,8,8/1/2020
3057,58,Ariana Grande & Justin Bieber,Stuck With U,66,1,11,8/1/2020
3058,59,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,70,58,16,8/1/2020
3059,60,Young T & Bugsey Featuring Headie One,Don't Rush,71,56,11,8/1/2020
3060,61,Marshmello & Halsey,Be Kind,62,29,12,8/1/2020
3061,62,Juice WRLD,Titanic,14,14,2,8/1/2020
3062,63,"Black Eyed Peas, Ozuna + J.Rey Soul",Mamacita,72,62,7,8/1/2020
3063,64,Juice WRLD,Stay High,34,34,2,8/1/2020
3064,65,Kane Brown With Swae Lee & Khalid,Be Like That,73,65,2,8/1/2020
3065,66,Saweetie,Tap In,91,66,2,8/1/2020
3066,67,Keith Urban,God Whispered Your Name,74,60,14,8/1/2020
3067,68,Juice WRLD,Bad Energy,16,16,2,8/1/2020
3068,69,Lee Brice,One Of Them Girls,78,69,8,8/1/2020
3069,70,Pop Smoke Featuring Lil Tjay,Mood Swings,79,44,3,8/1/2020
3070,71,Justin Moore,Why We Drink,76,69,8,8/1/2020
3071,72,Luke Combs,Lovin' On You,87,72,4,8/1/2020
3072,73,Kane Brown,Cool Again,77,68,8,8/1/2020
3073,74,"THE SCOTTS, Travis Scott & Kid Cudi",The Scotts,69,1,13,8/1/2020
3074,75,Pop Smoke,Something Special,75,41,3,8/1/2020
3075,76,Migos Featuring YoungBoy Never Broke Again,Need It,82,62,9,8/1/2020
3076,77,Juice WRLD & Trippie Redd,Tell Me U Luv Me,38,38,4,8/1/2020
3077,78,Juice WRLD,Up Up And Away,42,42,2,8/1/2020
3078,79,Juice WRLD,Fighting Demons,35,35,2,8/1/2020
3079,80,Morgan Wallen,More Than My Hometown,85,61,6,8/1/2020
3080,81,Jhene Aiko Featuring H.E.R.,B.S.,0,24,7,8/1/2020
3081,82,Don Toliver,After Party,81,57,14,8/1/2020
3082,83,Trevor Daniel x Selena Gomez,Past Life,90,77,3,8/1/2020
3083,84,Surf Mesa Featuring Emilee,ily,88,72,9,8/1/2020
3084,85,Rod Wave,Girl Of My Dreams,92,84,10,8/1/2020
3085,86,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,98,86,8,8/1/2020
3086,87,Lil Durk Featuring Lil Baby & Polo G,3 Headed Goat,97,43,6,8/1/2020
3087,88,Luke Combs Featuring Eric Church,Does To Me,80,20,19,8/1/2020
3088,89,Juice WRLD,Man Of The Year,51,51,2,8/1/2020
3089,90,AJR,Bang!,0,86,3,8/1/2020
3090,91,Ashley McBryde,One Night Standards,94,83,7,8/1/2020
3091,92,Juice WRLD,Can't Die,50,50,2,8/1/2020
3092,93,Drake Featuring Giveon,Chicago Freestyle,93,14,12,8/1/2020
3093,94,Polo G Featuring Juice WRLD,Flex,0,30,9,8/1/2020
3094,95,Juice WRLD,Screw Juice,46,46,2,8/1/2020
3095,96,Gunna Featuring Young Thug,Dollaz On My Head,0,38,7,8/1/2020
3096,97,Topic & A7S,Breaking Me,0,97,1,8/1/2020
3097,98,Pop Smoke Featuring Karol G,Enjoy Yourself,0,56,2,8/1/2020
3098,99,Parker McCollum,Pretty Heart,0,94,3,8/1/2020
3099,100,J. Cole,the.climb.back,0,100,1,8/1/2020
3100,1,Taylor Swift,Cardigan,0,1,1,8/8/2020
3101,2,DaBaby Featuring Roddy Ricch,Rockstar,1,1,15,8/8/2020
3102,3,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,2,2,25,8/8/2020
3103,4,Taylor Swift,The 1,0,4,1,8/8/2020
3104,5,The Weeknd,Blinding Lights,4,1,35,8/8/2020
3105,6,Taylor Swift Featuring Bon Iver,Exile,0,6,1,8/8/2020
3106,7,Harry Styles,Watermelon Sugar,7,7,19,8/8/2020
3107,8,SAINt JHN,Roses,5,4,19,8/8/2020
3108,9,Megan Thee Stallion,Savage,6,1,20,8/8/2020
3109,10,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),12,10,7,8/8/2020
3110,11,Lil Mosey,Blueberry Faygo,11,8,25,8/8/2020
3111,12,Chris Brown & Young Thug,Go Crazy,10,10,12,8/8/2020
3112,13,Taylor Swift,The Last Great American Dynasty,0,13,1,8/8/2020
3113,14,DJ Khaled Featuring Drake,Popstar,3,3,2,8/8/2020
3114,15,Harry Styles,Adore You,15,6,34,8/8/2020
3115,16,Taylor Swift,My Tears Ricochet,0,16,1,8/8/2020
3116,17,Juice WRLD x Marshmello,Come & Go,9,2,3,8/8/2020
3117,18,Gabby Barrett Featuring Charlie Puth,I Hope,16,16,31,8/8/2020
3118,19,Dua Lipa,Break My Heart,17,17,18,8/8/2020
3119,20,Post Malone,Circles,18,1,48,8/8/2020
3120,21,Lewis Capaldi,Before You Go,19,19,26,8/8/2020
3121,22,Juice WRLD,Wishing Well,13,5,3,8/8/2020
3122,23,Taylor Swift,August,0,23,1,8/8/2020
3123,24,Dua Lipa,Don't Start Now,27,2,39,8/8/2020
3124,25,Luke Bryan,One Margarita,25,19,13,8/8/2020
3125,26,Taylor Swift,Mirrorball,0,26,1,8/8/2020
3126,27,Doja Cat Featuring Nicki Minaj,Say So,21,1,30,8/8/2020
3127,28,Justin Bieber Featuring Quavo,Intentions,22,5,25,8/8/2020
3128,29,Lady Gaga & Ariana Grande,Rain On Me,14,1,10,8/8/2020
3129,30,Future Featuring Drake,Life Is Good,28,2,29,8/8/2020
3130,31,StaySolidRocky,Party Girl,24,21,14,8/8/2020
3131,32,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,23,6,4,8/8/2020
3132,33,Maddie & Tae,Die From A Broken Heart,35,33,16,8/8/2020
3133,34,Lil Baby & 42 Dugg,We Paid,20,10,13,8/8/2020
3134,35,Taylor Swift,Seven,0,35,1,8/8/2020
3135,36,Powfu Featuring beabadoobee,Death Bed,29,23,20,8/8/2020
3136,37,Taylor Swift,Invisible String,0,37,1,8/8/2020
3137,38,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,32,11,4,8/8/2020
3138,39,Taylor Swift,This Is Me Trying,0,39,1,8/8/2020
3139,40,Maren Morris,The Bones,31,12,45,8/8/2020
3140,41,Sam Hunt,Hard To Forget,33,26,18,8/8/2020
3141,42,Taylor Swift,Betty,0,42,1,8/8/2020
3142,43,Miranda Lambert,Bluebird,26,26,17,8/8/2020
3143,44,Taylor Swift,Illicit Affairs,0,44,1,8/8/2020
3144,45,Roddy Ricch,The Box,34,1,34,8/8/2020
3145,46,Maroon 5,Nobody's Love,0,46,1,8/8/2020
3146,47,Taylor Swift,Mad Woman,0,47,1,8/8/2020
3147,48,Trevor Daniel,Falling,30,17,37,8/8/2020
3148,49,Morgan Wallen,Chasin' You,39,16,27,8/8/2020
3149,50,Lil Baby,The Bigger Picture,37,3,7,8/8/2020
3150,51,J. Cole,Lion King On Ice,0,51,1,8/8/2020
3151,52,J. Cole,the.climb.back,100,52,2,8/8/2020
3152,53,LOCASH,One Big Country Song,50,50,9,8/8/2020
3153,54,Lil Baby,Emotionally Scarred,43,31,22,8/8/2020
3154,55,DJ Khaled Featuring Drake,Greece,8,8,2,8/8/2020
3155,56,Blake Shelton Featuring Gwen Stefani,Happy Anywhere,0,56,1,8/8/2020
3156,57,Taylor Swift,Epiphany,0,57,1,8/8/2020
3157,58,Taylor Swift,Peace,0,58,1,8/8/2020
3158,59,Pop Smoke Featuring Lil Tjay,Mood Swings,70,44,4,8/8/2020
3159,60,Moneybagg Yo,Said Sum,44,44,4,8/8/2020
3160,61,Megan Thee Stallion,Girls In The Hood,46,28,5,8/8/2020
3161,62,BENEE Featuring Gus Dapperton,Supalonely,47,39,20,8/8/2020
3162,63,"J Balvin, Dua Lipa, Bad Bunny & Tainy",Un Dia (One Day),0,63,1,8/8/2020
3163,64,Rod Wave Featuring ATR Son Son,Rags2Riches,41,41,5,8/8/2020
3164,65,Jason Aldean,Got What I Got,53,52,9,8/8/2020
3165,66,JP Saxe Featuring Julia Michaels,If The World Was Ending,52,50,18,8/8/2020
3166,67,Kane Brown With Swae Lee & Khalid,Be Like That,65,65,3,8/8/2020
3167,68,Chris Janson,Done,56,56,7,8/8/2020
3168,69,Florida Georgia Line,I Love My Country,54,48,15,8/8/2020
3169,70,NLE Choppa Featuring Roddy Ricch,Walk Em Down,48,38,19,8/8/2020
3170,71,Taylor Swift,Hoax,0,71,1,8/8/2020
3171,72,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,Hate The Other Side,36,10,3,8/8/2020
3172,73,Saweetie,Tap In,66,66,3,8/8/2020
3173,74,Juice WRLD,Conversations,38,7,3,8/8/2020
3174,75,Drake,Toosie Slide,45,1,17,8/8/2020
3175,76,Doja Cat Featuring Gucci Mane,Like That,57,51,9,8/8/2020
3176,77,Pop Smoke,Got It On Me,55,31,4,8/8/2020
3177,78,Gunna Featuring Young Thug,Dollaz On My Head,96,38,8,8/8/2020
3178,79,Luke Combs,Lovin' On You,72,72,5,8/8/2020
3179,80,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,59,58,17,8/8/2020
3180,81,Justin Moore,Why We Drink,71,69,9,8/8/2020
3181,82,Juice WRLD X Halsey,Life's A Mess,42,9,4,8/8/2020
3182,83,Lee Brice,One Of Them Girls,69,69,9,8/8/2020
3183,84,Kane Brown,Cool Again,73,68,9,8/8/2020
3184,85,"Black Eyed Peas, Ozuna + J.Rey Soul",Mamacita,63,62,8,8/8/2020
3185,86,Young T & Bugsey Featuring Headie One,Don't Rush,60,56,12,8/8/2020
3186,87,Juice WRLD,Righteous,51,11,13,8/8/2020
3187,88,Ariana Grande & Justin Bieber,Stuck With U,58,1,12,8/8/2020
